name,date
Afghanistan,19/08/1919
Antigua and Barbuda,01/11/1981
Australia,03/03/1901
The Bahamas,10/07/1973
Bahrain,15/08/1971
Barbados,30/11/1966
Belize,21/09/1981
Botswana,30/09/1966
Brunei,01/01/1984
Canada,01/07/1867
Cyprus,01/10/1960
Dominica,03/11/1978
Egypt,28/02/1922
Fiji,10/10/1970
Gambia,18/02/1965
Ghana,06/03/1957
Grenada,07/02/1974
Guyana,26/05/1966
India,15/08/1947
Ireland,06/12/1922
Israel,14/05/1948
Iraq,03/10/1932
Jamaica,06/08/1962
Jordan,25/05/1946
Kenya,12/12/1963
Kiribati,12/07/1979
Kuwait,25/02/1961
Lesotho,04/10/1966
Libya,24/12/1951
Malawi,06/07/1964
Malaysia,31/08/1957
Maldives,26/07/1965
Malta,21/09/1964
Mauritius,12/03/1968
Myanmar,04/01/1948
Nauru,31/01/1968
New Zealand,26/09/1907
Nigeria,01/10/1960
Pakistan,14/08/1947
Qatar,03/09/1971
Saint Lucia,22/02/1979
Saint Kitts and Nevis,19/09/1983
Saint Vincent and the Grenadines,27/10/1979
Seychelles,29/06/1976
Sierra Leone,27/04/1961
Solomon Islands,07/07/1978
Somalia,01/07/1960
South Africa,11/12/1910
Sri Lanka,04/02/1948
Sudan,01/01/1956
Swaziland,06/09/1968
Tanzania,09/12/1961
Tonga,04/06/1970
Trinidad and Tobago,31/08/1962
Tuvalu,01/10/1978
Uganda,09/10/1962
United Arab Emirates,02/12/1971
United States of America,03/09/1783
Vanuatu,30/07/1980
Yemen,30/11/1967
Zambia,24/10/1964
Zimbabwe,18/04/1980
